organization,product,address,telephone,category,decision_number,decision_date,permit_place,operational_date,description,status,barcode,email,website
PT Bank Neo Commerce,,"Gedung Gozco, Jl. Raya Pasar Minggu Kav. 32, Pancoran, Jakarta Selatan 12780",,QRIS,24/130/DKSP/Srt/B,5/12/2022,Departemen Kebijakan Sistem Pembayaran,,QRIS Operators,Berizin (Belum Beroperasinal),,,
PT Bank Shinhan Indonesia (d/h PT Centratama Nasional Bank),,"International Finacial Center 2 lt. 30, Jl. Jend. Sudirman Kav. 22-23, Jakarta Selatan",,QRIS,24/131/DKSP/Srt/B,5/12/2022,Departemen Kebijakan Sistem Pembayaran,,QRIS Operators,Berizin (Belum Beroperasinal),,,
PT MJC Money Changer,,"Ruko Beach View Boulevard Blok C No. 32 Pantai Indah Kapuk, Jakarta Utara",,Non Bank Money Changer Operators,24/36/KEP.GBI/Jkt/2022,5/9/2022,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),1419.45-000/Jkt,,
Lembaga Pelatihan Kerja Pos Indonesia,,"Gedung Assessment & Learning Center Pos Indonesia
Jl. Supratman No.88 
Bandung 40122",022-87245970,Job Training Institute,24/70/DPSP-GESK/Srt/B,4/26/2022,Bandung,,Job Training Institute,Berizin (Telah Operasional),,,
Lembaga Pelatihan Kerja Bank BNI,,"BNI Corporate University, 
Jl. Jenderal S. Parman Kav 55-56, RT/RW: 009/006, 
Kel. Petamburan, Kec. Tanah Abang, 
Jakarta Pusat 10260",021-53677260,Job Training Institute,24/71/DPSP-GESK/Srt/B,4/26/2022,Jakarta,,Job Training Institute,Berizin (Telah Operasional),,,
PT Kasih Sejahtera Bali,,"Jalan Raya Canggu No.18 Banjar Aseman Kawan, Kuta Utara, Kab. Badung, Bali 80361",,Non Bank Money Changer Operators,24/387/Dpr/Srt/B,4/20/2022,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),642.-005/Dpr,,
PT Kasih Sejahtera Bali,,"Jl. Legian Tengah No.436, Kuta, Badung, Bali",,Non Bank Money Changer Operators,24/388/Dpr/Srt/B,4/20/2022,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),642.-005/Dpr,,
PT Kasih Sejahtera Bali,,"Pepito Udayana, Jalan Raya Kampus Udayana, Kel. Jimbaran, Kuta Utara, Kab. Badung, Bali 80361",,Non Bank Money Changer Operators,24/389/Dpr/Srt/B,4/20/2022,KPwBI Provinsi Bali,,Non Bank Money Changer Operators,Berizin (Telah Operasional),642.-005/Dpr,,
PT Lancar Sentosa Valasindo,,"Mall Mangga Dua Square Lt. UG Blok C No. 187, Jalan Gunung Sahari Raya No.1 RT011/006, Kel. Ancol. Kec. Pademangan, Jakarta Utara",,Non Bank Money Changer Operators,24/9/KEP.GBI/Jkt/2022,4/15/2022,KPwBI Provinsi DKI Jakarta,,Non Bank Money Changer Operators,Berizin (Telah Operasional),1417.43.000/Jkt,,
PT Bank Pembangunan Daerah Jawa Tengah,,"Gedung Grinatha, Jl. Pemuda No. 142, Semarang 50132",,QRIS,24/105/DKSP/Srt/B,4/14/2022,Departemen Kebijakan Sistem Pembayaran,,QRIS Operators,Berizin (Belum Beroperasinal),,,
Lembaga Pelatihan Kerja Bank Mandiri,,"Mandiri University, Jl. Tanah Abang Timur No. 11
Jakarta 10110",021 - 3864690,Job Training Institute,24/63/DPSP-GESK/Srt/B,4/13/2022,Jakarta,,Job Training Institute,Berizin (Telah Operasional),,,
PT Atlantic Money Changer,,"Jl. Topoka No. 19, Kec. Belopa, Luwu",,Non Bank Money Changer Operators,24/1/KEP.GBI/Mks/2022,4/4/2022,KPwBI Provinsi Sulawesi Selatan,,Non Bank Money Changer Operators,Berizin (Telah Operasional),1158.001/0006,,
Lembaga Pelatihan Kerja Solusi Mega,,"Gedung Smartdeal, Jl. Cideng Timur 16 A, Jakarta Pusat",021-6305210,Job Training Institute,24/51/DPSP-GESK/Srt/B,3/28/2022,Jakarta,,Job Training Institute,Berizin (Telah Operasional),,,
Lembaga Pelatihan Kerja Danamon Corporate University,,"Danamon Corporate University. Jl. Raya Puncak No.8, Gadog, Ciawi, Bogor

",0251-8241475,Job Training Institute,24/46/DPSP-GESK/Srt/B,3/22/2022,Bogor,,Job Training Institute,Berizin (Telah Operasional),,,
PT Gemar Arta Valutama,,"AEON Mall Sentul City, Lantai B1, Unit B1-22, Jl. MH Thamrin Sentul City, Babakan Madang - Kabupaten Bogor",,Non Bank Money Changer Operators,24/190/Jkt/Srt/B,3/17/2022,KPwBI Provinsi DKI Jakarta,3/30/2022,Non Bank Money Changer Operators,Berizin (Telah Operasional),1414.40-000/Jkt,,
PT Daffa Indo Valuta,,"Jalan Kwitang Raya No. 8, Kel. Kwitang, Kec. Senen, Jakarta Pusat",,Non Bank Money Changer Operators,24/189/Jkt/Srt/B,3/17/2022,KPwBI Provinsi DKI Jakarta,3/24/2022,Non Bank Money Changer Operators,Berizin (Telah Operasional),,,
PT Top Dolar Remitan,,"Ruko Tiban Vivo Square H No. 3, Kelurahan Patam Lestari, Kecamatan Sekupang, Kota Batam, Prov. Kepulauan Riau",,Payment Service Provider - License Category 3,24/5/KEP.GBI/Btm/2002,3/10/2022,KPwBI Provinsi Kepulauan Riau,,Remittance Services,Berizin (Telah Operasional),,,
PT Sarana Pactindo,Pac Cash,"Jalan Soekarno-Hatta No. 269, Bandung 40235",,QRIS,24/74/DKSP/Srt/B,3/9/2022,Departemen Kebijakan Sistem Pembayaran,,QRIS Operators,Berizin (Belum Beroperasinal),,,
PT BPR Surya Yudhakencana,,,,Payment Service Provider - License Category I,24/52/DKSP/Srt/B,2/25/2022,Departemen Kebijakan Sistem Pembayaran,,Account Issuance Services,Berizin (Belum Beroperasinal),,,
PT Pakai Donk Nusantara,Pakaidonk,"Ruko Nagoya Hill Mall Blok O No. 12B-15, Kel. Lubuk Baja Kota, Kec. Lubuk Baja",,Payment Service Provider - License Category I,24/53/DKSP/Srt/B,2/25/2022,Departemen Kebijakan Sistem Pembayaran,,Account Issuance Services,Berizin (Telah Operasional),,,
PT Kreigan Digital Wesel,,"Green Lake City, Ruko Food City RKFC-005, Cipondoh, Kota Tangerang, Banten, 15147",,Payment Service Provider - License Category 3,24/324/Sr/B/6-001,2/24/2022,KPwBI Provinsi Banten,,Remittance Services,Berizin (Telah Operasional),,,
Lembaga Pelatihan Kerja Bank Central Asia (BCA),,"BCA Learning Institute. Jl. Pakuan No.3 Sentul City - Bogor 16810
",021-25563000/021-23588300,Job Training Institute,24/27/DPSP-GESK/Srt/B,2/22/2022,Bogor,,Job Training Institute,Berizin (Telah Operasional),,,
PT Ayopop Teknologi Indonesia,AyoSaldo,"Graha Apic, Lantai 2, Jl. KH. Wahid Hasyim No. 154-156 RT 2/RW 10, Kampung Bali, Tanah Abang, Jakarta Pusat",,Payment Service Provider - License Category I,24/50/DKSP/Srt/B,2/21/2022,Departemen Kebijakan Sistem Pembayaran,,Account Issuance Services,Berizin (Telah Operasional),,,
PT BPR Palu Lokadana Utama,,,,Payment Service Provider - License Category I,24/30/DKSP/Srt/B,2/4/2022,Departemen Kebijakan Sistem Pembayaran,,Account Issuance Services,Berizin (Telah Operasional),,,
PT Inacash Lentera Teknologi,Inacash,,,Payment Service Provider - License Category I,24/29/DKSP/Srt/B,2/4/2022,Departemen Kebijakan Sistem Pembayaran,,Payment Initiation and/or Acquiring Services,Berizin (Belum Beroperasinal),,,
PT Reksa Transaksi Sukses Makmur,Ottopay,"Jl. Profesor Doktor Soepomo SH No.2 Unit 102 Menteng Dalam, Tebet Jakarta Selatan 12870",,Payment Service Provider - License Category 2,24/26/DKSP/Srt/B,2/3/2022,Departemen Kebijakan Sistem Pembayaran,3/9/2022,Payment Initiation and/or Acquiring Services,Berizin (Telah Operasional),,,
Lembaga Sertifikasi Profesi Perbankan (LSPP),,"Menara IBI (Ikatan Bankir Indonesia), Jl. RS. Fatmawati No.2-4, Gandaria Selatan, Cilandak, Jakarta Selatan 12430",,Professional Certification Institute,24/45/DPSP/Srt/B,2/2/2022,Jakarta,,,Berizin (Telah Operasional),,,
PD BPR Bank Jogja,,Jl. Patangpuluhan No.1 Yogyakarta 55251,,Payment Service Provider - License Category I,24/19/DKSP/Srt/B,1/28/2022,Departemen Kebijakan Sistem Pembayaran,3/30/2022,Payment Initiation and/or Acquiring Services,Berizin (Telah Operasional),,,
PT GDC Multi Sarana,GDCpay,Raya Keputran No. 59 Kel. Keputran Kec. Tegalsari Surabaya,,Payment Service Provider - License Category I,24/18/DKSP/Srt/B,1/28/2022,Departemen Kebijakan Sistem Pembayaran,4/1/2022,Payment Initiation and/or Acquiring Services,Berizin (Telah Operasional),,,
PT Paramas Murni Jaya,,"P. Jayakarta Center Blok D1 No. 5-6, Jl, Pangeran Jayakarta No. 3, Kel. Mangga Dua Selatan, Kec. Sawah Besar, Jakarta Pusat 10730",,Payment Service Provider - License Category 3,22/321/Jkt/B/22-001,1/25/2022,KPwBI Provinsi DKI Jakarta,3/17/2022,Remittance Services,Berizin (Telah Operasional),,,
PT Payquest Network Indonesia ,,"Jl. Raya Tukdana No.25 Kecamatan Tukdana, Kabupaten Indramayu",,Payment Service Provider - License Category 3,22/320/JKT/B/21-001,1/25/2022,KPwBI Provinsi DKI Jakarta,,Remittance Services,Berizin (Telah Operasional),320.21-001/Jkt,,
PT Pundimas Sentral Dana,,"Gedung Plaza Sentral Lantai 9 Suite 917, Jl. Jend. Sudirman Kav. 47, Setiabudi, Jakarta Selatan 12930",,Payment Service Provider - License Category 3,22/323/Jkt/B/24-001,1/21/2022,KPwBI Provinsi DKI Jakarta,5/9/2022,Remittance Services,Berizin (Telah Operasional),323.24-001/Jkt,,
PT Trimitra Valasindo Persada,,"Summarecon Mall Serpong 2 Unit BA-07, Gading Serpong, Kel. Pakulonan, Kec. Kelapa Dua, Kab. Tangerang",,Non Bank Money Changer Operators,24/01/KEP.GBI/Sr/2022,1/14/2022,KPwBI Provinsi Banten,2/1/2022,Non Bank Money Changer Operators,Berizin (Telah Operasional),1407.81-001/Sr,,
PT Alfathan Valutindo Sukses,,Jalan Eka Rasmi Komplek Bumi Johor Sentosa B12,,Non Bank Money Changer Operators,24/1/KEP.GBI/MDN/2022,1/10/2022,KPwBI Provinsi Sumatera Utara,1/10/2022,Non Bank Money Changer Operators,Berizin (Telah Operasional),1406.67-000/Mdn,,
PT Dua Raja Valas,,"ITC Kuningan Lantai Dasar F4 Nomor 2/9, Jl. Prof. Dr. Satrio No. 18, Karet Kuningan, Setiabudi, Jakarta Selatan 12940",,Non Bank Money Changer Operators,24/15/Jkt/Srt/B,1/6/2022,KPwBI Provinsi DKI Jakarta,1/24/2022,Non Bank Money Changer Operators,Berizin (Telah Operasional),1408.38-001/Jkt,,
PT Achilles Financial Systems,,"Generali Tower Lantai 23 Unit G, Gran Rubina Business Park, Jl. HR Rasuna Said, Kel. Karet Kuningan, Kec. Setiabudi, Jakarta Selatan",,Payment Service Provider - License Category 3,24/318/Jkt/B/19-001,1/6/2022,KPwBI Provinsi DKI Jakarta,3/22/2022,Remittance Services,Berizin (Telah Operasional),,,
PT Nandy Dana Ekspress,,"Ruko Taman Palem Lestari Blok B17 No. 68 Kel. Cengkareng Barat, Jakarta Barat",,Payment Service Provider - License Category 3,24/14/Jkt/Srt/B,1/6/2022,KPwBI Provinsi DKI Jakarta,,Remittance Services,Berizin (Telah Operasional),319.20-001/Jkt,,
PT Silot Technology Indonesia,,"The Plaza Office Tower Lt. 7 Kav. 28-30, Jakarta Pusat",,Payment Service Provider - License Category 3,22/233/Jkt/B/23-001,1/6/2022,KPwBI Provinsi DKI Jakarta,3/9/2022,Remittance Services,Berizin (Telah Operasional),,,
PT American Express Indonesia,,"The Plaza Office Tower Level 28 D, Jl. M.H. Thamrin Kav. 28-30, Jakarta Pusat 10350",,Payment System Infrastructure Provider,23/11/KEP.DpG/2021,12/24/2021,Departemen Kebijakan Sistem Pembayaran,12/24/2021,Credit Card Clearing and Settlement,Berizin (Telah Operasional),,,
PT JCB International Indonesia,,"World Trade Center 2 Lantai 18, Jalan Jenderal Sudirman Kav. 29, Jakarta Selatan",,Payment System Infrastructure Provider,23/8/KEP.DpG/2021,12/24/2021,Departemen Kebijakan Sistem Pembayaran,12/24/2021,"ATM Card, Debit Card, Credit Card Clearing and Settlement",Berizin (Telah Operasional),,,
PT Mastercard Indonesia,,"Sentral Senayan 1, 17th Floor, Unit 117E, Jl. Asia Afrika No. 8, Jakarta Pusat 10270",,Payment System Infrastructure Provider,23/9/KEP.DpG/2021,12/24/2021,Departemen Kebijakan Sistem Pembayaran,12/24/2021,"ATM Card, Debit Card, Credit Card Clearing and Settlement",Berizin (Telah Operasional),,,
PT UnionPay Indonesia,,"The Plaza Office Tower Lt.45, Jl. MH. Thamrin No. 28 - 30, Jakarta 10310",,Payment System Infrastructure Provider,23/12/KEP.DpG/2021,12/24/2021,Departemen Kebijakan Sistem Pembayaran,12/24/2021,"Debit Card, Credit Card Clearing and Settlement",Berizin (Telah Operasional),,,
PT Visa Worlwide Indonesia,,"Wisma 46 – Kota BNI, 16th Floor, Jl. Jend Sudirman Kav. 1, Jakarta Pusat 10220",,Payment System Infrastructure Provider,23/10/KEP.DpG/2021,12/24/2021,Departemen Kebijakan Sistem Pembayaran,12/24/2021,"ATM Card, Debit Card, Credit Card Clearing and Settlement",Berizin (Telah Operasional),,,
PT Indivara Sejahtera Sukses Makmur,Wallet of Indivara (Wol),"Kirana Boutique Office Blok G 3 No.1-2 Jl. Kirana Avenue, Kelapa Gading Jakarta 14240",,Payment Service Provider - License Category I,23/1018/DKSP/Srt/B,12/22/2021,Departemen Kebijakan Sistem Pembayaran,4/7/2022,Payment Initiation and/or Acquiring Services,Berizin (Telah Operasional),,,
PT Bank Raya Indonesia Tbk,,"Jl. Warung Jati Barat no.139, Kel.Kalibata, Kec.Pancoran, Jakarta Selatan, 12740",,QRIS,23/1016/DKSP/Srt/B,12/21/2021,Departemen Kebijakan Sistem Pembayaran,,QRIS Operators,Berizin (Telah Operasional),,,
PT Bank NTB Syariah,,"Jl. Pejanggik 30, Mataram 83126",,QRIS,23/1014/DKSP/Srt/B,12/17/2021,Departemen Kebijakan Sistem Pembayaran,,QRIS Operators,Berizin (Telah Operasional),,,
PT Bank Aladin Syariah,,"Millenium Centennial Center, Lt. 7, Jl. Jend. Sudirman Kav. 25, Jakarta Selatan 12920",,Payment Service Provider - License Category I,23/1012/DKSP/Srt/B,12/15/2021,Departemen Kebijakan Sistem Pembayaran,1/3/2022,Account Issuance Services,Berizin (Telah Operasional),,,
PT Chlara Alenxi Valasindo,,"Mall E-Center Lantai 3 No. III/G3/3A, Lippo Karawaci, Tangerang",,Non Bank Money Changer Operators,23/23/KEP.GBI/Sr/2021,12/6/2021,KPwBI Provinsi Banten,1/1/2022,Non Bank Money Changer Operators,Berizin (Telah Operasional),1404.80-001/Sr,,
LPK Bank BTPN,,"Menara BTPN, Lt. 30. Jl. Dr. Ide Anak Agung Gde Agung Kav. 5.5-5.6 CBD Mega Kuningan, Kec. Setiabudi, Kel. Kuningan Timur, Jakarta Selatan",,Job Training Institute,23/248/DPSP-GESK/Srt/B,11/19/2021,Jakarta,,Job Training Institute,Berizin (Telah Operasional),,,
LPK Panin Learning Academy,,"Plaza Panin Bank Lt. 3, Palmerah, Palmerah, Jakarta Barat",,Job Training Institute,23/232/DPSP-GESK/Srt/B,11/3/2021,Jakarta,,Job Training Institute,Berizin (Telah Operasional),,,
PT Jatelindo Perkasa Abadi,Fello,"Jl. Sunan Kalijaga No. 63 B, Melawai, Jakarta Selatan",(021) 7204923,QRIS,23/994/DKSP/Srt/B,10/30/2021,Departemen Kebijakan Sistem Pembayaran,,QRIS Operators,Berizin (Telah Operasional),,,https://www.fello.id/
PT Max Interactives Tecnologies,Zipay,"Menara Kuningan Lt. 30, Unit B-C",(021) 22652825,QRIS,23/995/DKSP/Srt/B,10/30/2021,Departemen Kebijakan Sistem Pembayaran,,QRIS Operators,Berizin (Telah Operasional),,,https://zipay.id/
PT Bank Pembangunan Daerah Kalimantan Barat,,"Jl. Rahadi Osman No. 10 , PONTIANAK 78117",,QRIS,23/956/DKSP/Srt/B,10/22/2021,Departemen Kebijakan Sistem Pembayaran,,QRIS Operators,Berizin (Telah Operasional),,,
PT Witami Tunai Mandiri,Truemoney,"Gran Rubina Business Park, Generali Tower Lt. 19, Jl. HR Rasuna Said Kav. C-22, Jakarta Selatan, DKI Jakarta 12940",,QRIS,23/950/DKSP/Srt/B,10/21/2021,Departemen Kebijakan Sistem Pembayaran,,QRIS Operators,Berizin (Telah Operasional),,,
PT Bintang Utara Nusantara,,"Perum Bumi intan Asri A1, Sleman, Yogyakarta",,Payment Service Provider - License Category 3,23/312/Yk/B/4-001,10/19/2021,KPwBI Provinsi DI Yogyakarta,,Remittance Services,Berizin (Telah Operasional),312.4-001/Yk,,
PT Bank Pembangunan Daerah Kalimantan Timur dan Kalimantan Utara,,"Jl. Jend. Sudirman No. 33, SAMARINDA",,QRIS,23/946/DKSP/Srt/B,10/18/2021,Departemen Kebijakan Sistem Pembayaran,,QRIS Operators,Berizin (Telah Operasional),,,
PT Eko Budiono Maju Mapan Valas Nusantara,,"Jl. Trunojoyo No. 34 RT 006 RW 002, Pakelan, Kota Kediri",,Non Bank Money Changer Operators,23/4/KEP.GBI/Kd/2021,10/13/2021,KPwBI Kediri,,Non Bank Money Changer Operators,Berizin (Telah Operasional),1395.38-001/Kd,,
PT Giat Bangun indonesia,,"Jalan Panglima Polim Raya No. 51, Kelurahan Melawai, Kecamatan Kebayoran Baru, Jakarta Selatan 12140",,Payment Service Provider - License Category 3,21/311/Jkt/B/17-001,10/12/2021,KPwBI Provinsi DKI Jakarta,1/5/2022,Remittance Services,Berizin (Telah Operasional),,,
LPK Muamalat Institute,,"Jl. Tanjung Duren Raya No.7 ABC, Grogol, Petamburan, Jakarta Barat",,Job Training Institute,23/260/DPSP-GESK/Srt/B,10/12/2021,Jakarta,,Job Training Institute,Berizin (Telah Operasional),,,
PT Haji La Tunrung A.M.C,,"Jl. Martadinata No. 1, Makassar",,Non Bank Money Changer Operators,23/1/KEP.GBI/Mks/2021,10/6/2021,KPwBI Provinsi Sulawesi Selatan,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0396.001/0001,,
PT Marazavalas,,"Jl. Muchtar Lutfi No. 9, Makassar",,Non Bank Money Changer Operators,23/2/KEP.GBI/Mks/2021,10/6/2021,KPwBI Provinsi Sulawesi Selatan,,Non Bank Money Changer Operators,Berizin (Telah Operasional),0397.001/0002,,
PT Kirim Uang Indonesia,,"Ruko Cicurug Town Square Blok A No 11, Kel Benda, Cicurug, Jawa Barat",,Payment Service Provider - License Category 3,21/310/Bd/B/10-001,10/5/2021,KPwBI Provinsi Jawa Barat,,Remittance Services,Berizin (Telah Operasional),310.10-001/Bd,,
PT Digital Solusi Pratama ,,"Gedung Prima Sejahtera Lt 7, Jl. Jalur Sutera, Kav 5A, Pinang, Kota Tangerang 15144",,Payment Service Provider - License Category 3,21/309/Sr/B/5-000,9/24/2021,KPwBI Provinsi Banten,,Remittance Services,Berizin (Telah Operasional),309.5-000/Sr,,
PT Rintis Sejahtera,,"Gedung International Financial Centre II Lantai 19, Jl. Jend. Sudirman Kav. 22-23, Kel. Karet, Kec. Setiabudi, Kota Administrasi Jakarta Selatan, Jakarta",,Payment System Infrastructure Provider,23/6/KEP.DpG/2021,9/24/2021,Departemen Kebijakan Sistem Pembayaran,9/24/2021,"ATM Card, Debit Card, Credit Card Clearing and Settlement",Berizin (Telah Operasional),,,
