organization,prev_organization,address
PT CGS-CIMB Sekuritas Indonesia,"PT CIMB Sekuritas Indonesia PT CIMB Securities Indonesia
PT CIMB-GK Securities Indonesia PT GK GOH Indonesia
PT GK GOH Ometraco","Gedung Bursa Efek Indonesia Menara II Lantai 20, Jalan Jenderal Sudirman Kav. 52-53, Jakarta 12190, Telp. (021) 5151330, Fax. (021) 5151335"
PT CIMB Niaga Sekuritas *),,"Graha CIMB Niaga Lt. 25, Jl. Jend. Sudirman Kav. 58, Jakarta  12190, Telp. (021) 50847847, Fax. (021)
50947948"
PT Ciptadana Sekuritas Asia,"PT Ciptadana Securities
PT Ciptadana Securities Usah","Plaza Asia Office Park 2, Jalan Jenderal Sudirman Kav 59, Jakarta Selatan 12190, Telp. (021) 25574800,
Fax. (021) 25574842"
PT Citigroup Sekuritas Indonesia,"Citigroup Securities Indonesia
PT Citicorp Securities Indonesia","Citibank Tower Lt.10 Pacific Century Place SCBD Lot 10, Jalan Jenderal Sudirman Kav. 52-53, Jakarta
12190, Telp. (021) 29249223, Fax. (021) 29249239"
PT CLSA Sekuritas Indonesia,"PT CLSA Indonesia
PT Credit Lyonnais Capital Ind. PT Dian Adya Securitas","Sequis Tower Lantai 16, Unit 1 & 7, SCBD Lot 11B, Jalan Jenderal Sudirman No. 27, Jakarta Selatan
12190, Telp. (021) 50887888, Fax. ( 021) 7247795"
PT Corpus Sekuritas Indonesia,"PT Madani Sekuritas Indonesia PT Madani Securities
PT Widari Securities
PT Astra Securities","Distric 8, Treasury Tower, Lt.1 SCBD Lot 28, Jl. Jendral Sudirman Kav. 52-54, Jakarta Selatan 12190, Telp. (021) 50858838, Fax."
PT Credit Suisse Sekuritas Indonesia,PT Credit Suisse Securities Indonesia PT Credit Suisse First Boston Indonesia,"Sampoerna Strategic Square, South Tower Lantai 23, Jalan Jenderal Sudirman Kav. 45 - 46, Jakarta 12930, Telp. (021) 25537900, Fax. (021) 25537999"
PT Danasakti Sekuritas Indonesia,PT Danasakti Securities,Jalan Tanah Abang III No. 6  Jakarta 10160  Telp. (021) 2312345  Fax. (021) 2314880
PT Danatama Makmur Sekuritas,PT Danatama Makmur,"Danatama Square, Jalan Mega Kuningan Timur Blok C-6 / Kav. 12 Kawasan Mega Kuningan , Jakarta
12950  Telp. (021) 57974288  Fax. (021) 57974289"
PT DBS Vickers Sekuritas Indonesia,"PT DBS Vickers Securities Indonesia PT Vickers Ballas Indonesia
PT Vickers Ballas Tamara","Gedung DBS Bank Tower Lantai 32
Ciputra World I, Jalan Prof. Dr. Satrio Kav. 3-5, Jakarta 12940, Telp. (021) 30034900, Fax. (021)
30034994"
PT Deutsche Sekuritas Indonesia,"PT Deutsche Securities Indonesia
PT Deutsche Morgan Grenfell Ind","Deutsche Bank Building Lantai 5, Jalan Imam Bonjol No. 80, Jakarta 10310, Telp. (021) 29644545, Fax.
(021) 29644076"
PT Dhanawibawa Sekuritas Indonesia,PT Dhanawibawa Arthacemerlang,"The Manhattan Square Lt. 17 Unit H, Jalan TB. Simatupang Kav. 1S, Cilandak Timur, Jakarta Selatan
12560, Telp. (021) 29407211 - 72, Fax. (021) 02129407223"
PT Dwidana Sakti Sekuritas,PT Dwidana Sakti Securindo,"Wisma Bisnis Indonesia Lantai 15, Jalan Letnan Jenderal S. Parman Kav.12, Jakarta 11480, Telp. (021)
5307133  Fax. (021) 5305877"
PT Ekokapital Sekuritas,PT Ekodana Sekuritas,"Graha Family Mart Lantai 6, Jalan Setiabudi Selatan Kav. 10, Jakarta Selatan 12920, Telp. (021)
57904588  57904580  Fax. (021) 57904593"
PT Ekuator Swarna Sekuritas,PT Equator Sekuritas Indonesia,"Office District 8 Tower Treasury Lantai 17, SCBD Lot 28 , Jalan Jenderal Sudirman Kav. 52-53, Jakarta
Selatan  12190, Telp. (021) 40000677, Fax. (021) 50504377"
PT Elit Sukses Sekuritas,"PT Bosowa Sekuritas
PT Royal Trust Capital
PT Golden Financial Securities","Equity Tower Lantai 15  Jalan Jenderal Sudirman Kav. 52-53  Jakarta  12190  Telp. (021) 29035177  Fax.
(021) 29035166"
PT Equity Sekuritas Indonesia,"PT Equity Securities Indonesia
PT Equity Development Securities PT Surya Kencana Securities
PT GT Investama Sekuritas
PT Gajah Nusantara Sekuritas PT BDNI Securities","Wisma Hayam Wuruk, Lt. 12, Jl. Hayam Wuruk No. 8, Jakarta 10120, Telp. (021) 80632800 , Fax. (021)
3840041"
PT Erdikha Elit Sekuritas,"PT Erdikha Elit
PT Erdikha Mulyatama","Gedung Sucaco Lantai 5 , Jalan Kebon Sirih No. 71, Jakarta Pusat 10340, Telp. (021) 3100525 Ext. 265,
Fax. (021) 331119"
PT Evergreen Sekuritas Indonesia,"PT Evergreen Capital
PT Agridhanasatya Permata","Panin  Bank Centre Lantai 1, Jalan Jenderal Sudirman No. 1, Jakarta 10270, Telp. (021) 5739510, Fax.
(021) 5739508"
PT FAC Sekuritas Indonesia,"PT First Asia Capital
PT Panin Capital","Panin Bank Centre Lantai 3, Jalan Jenderal Sudirman No. 1 Senayan, Jakarta 10270, Telp. (021)
7263969  Fax. (021) 5710895"
PT Forte Global Sekuritas,PT Forte Mentari Securities PT Mentari Securindo,"Komp. Graha Kencana Blok CK, , Jalan Raya Perjuangan No. 88, Kebun Jeruk, Jakarta Barat  11530, Telp. (021) 5325894  Fax. (021) 5325895"
PT Garuda Investindo Sekuritas,,"Ruko BPBD Tangerang Selatan, Jalan Buaran Raya Victor No. 10, Kel. Buaran, Kec. Serpong, Tangerang Selatan  15316, Telp. (021) 75879416
75869416 , Fax. (021) 75879416
Fax: 75876725"
PT Garuda Nusantara Sekuritas,PT Garuda Nusantara Capital,"Jalan Pejompongan III A No.15, Bendungan Hilir – Tanah Abang, Jakarta Pusat 12920, Telp. (021) 57854122  Fax. (021) 57854225"
"PT Goldman Sachs Indonesia
Sekuritas *)","PT Goldman Sachs Indonesia
Securities","Equity Tower Lantai 40 Suite D, SCBD Lot 9, Jalan Jenderal Sudirman Kav. 52-53, Jakarta 12190, Telp.
(021) 29773000  Fax. (021) 29773001"
PT Harita Kencana Sekuritas,"PT Harita Kencana Securities
PT Rita Wijaya Kencana","Gedung Bank Panin Pusat Lantai 4, Jalan Jenderal Sudirman - Senayan, Jakarta 10270, Telp. (021)
5735610  Fax. (021) 5735611"
PT Henan Putihrai Sekuritas,PT Henan Putihrai,"Wisma Tamara Lantai 15 Suite 1504, Jalan Jenderal Sudirman Kav.24, Jakarta  12920, Telp. (021)
5206464   Fax. (021) 5206797"
PT HSBC Sekuritas Indonesia,"PT HSBC Securities Indonesia
PT Wardldley James Capel","Gedung World Trade Center Lantai 4, Jalan Jenderal Sudirman Kav. 29-31, Jakarta 12920, Telp. (021)
5246452, Fax. (021) 2922-9696, 2922-9697"
PT Indo Capital Sekuritas,PT Inovasi Utama Sekurindo,"Jalan Persatuan Guru 41A, Petojo Selatan, Jakarta  12980, Telp. (021) 3853363, Fax. (021) 3853362"
PT Indo Mitra Sekuritas,"PT Indomitra Securities
PT Mitra Investdana Sekurindo PT Mitra Duta Sekuritas","Gedung Wira Usaha Lantai 4, Jalan HR. Rasuna Said Kav. C-5, Jakarta 12940, Telp. (021) 5229073 -30, Fax. (021) 5229081"
PT Indo Premier Sekuritas,PT Indo Premier Securities PT Puridana Sekurindo,"Pacific Century Place Lt. 16
Sudirman Central Business District Lot 10
Jl. Jend Sudirman Kav. 52-53  Jakarta Selatan  12190  Telp. (021) 5088168  Fax."
"PT Indonesia Makmur Group
Sekuritas",PT Senni Cahaya,"Wisma Matahari Power Suite 150, Jl. Raya Kebayoran Lama No. 21, Jakarta Selatan 12210, Telp. (021)
50718315  Fax. (021) 50718316"
PT Indosurya Bersinar Sekuritas,PT Asjaya Indosurya Securities,"Gedung Menara Kuningan Lt. 32, 1, HR. Rasuna Said Blok X7 Kav. 5, Jakarta Selatan 12940, Telp. (021)
30015622  Fax. (021) 30015649"
PT Inti Fikasa Sekuritas,PT Intifikasa Securindo,"Menara Batavia Lantai 23, Jalan KH. Mas Mansyur Kav. 125-126, Jakarta Pusat 10220, Telp. (021) 5793-
0080  Fax. (021) 5793-0090"
PT Inti Teladan Sekuritas,PT Intiteladan Artha Swadaya,Jalan Sumatera No.92 B   Surabaya   Telp. (031) 5012222-7777  Fax. (031) 5011343
PT Investindo Nusantara Sekuritas,"PT Bira Sekuritas
PT Anekareksa Sec. Corp","Plaza ABDA Lantai 17, Jalan Jenderal Sudirman Kav. 59, Jakarta 12190, Telp. (021) 5150817, Fax. (021)
51401616"
PT Jasa Utama Capital Sekuritas,PT Jasa Utama Capital PT Jasa Utama Capital PT Kapitalindo Utama,"Gedung Kospin Jasa Lantai 7-8, Jalan Jenderal Gatot Subroto Kav.1, Kel. Menteng Dalam, Kec. Tebet, Jakarta Selatan  12870, Telp. (021) 83789000, Fax. (021) 83788908"
PT JP Morgan Sekuritas Indonesia,"PT JP Morgan Securities Indonesia
PT Jardine Fleming Nusantara","Gedung The Energy Lantai 6 SCBD Lot 11A, Jalan Jenderal Sudirman Kav 52 - 53, Jakarta 12190, Telp.
(021) 52918181  Fax. (021) 52918266"
PT KAF Sekuritas Indonesia,PT Varia Inti Sekuritas PT Redialindo Mandiri,Treasury Tower Lantai 28 Unit D  Jalan Jenderal Sudirman Kav 52-53  Jakarta Selatan 12190  Telp. (021) 50123175  Fax. (021) 50123185
PT KGI Sekuritas Indonesia,PT Hasta Dana Sekuritas Indonesia,"Sona Topaz Tower Lantai 11  Jalan Jenderal Sudirman Kav. 26  Jakarta  12920  Telp. (021) 2506337  Fax.
(021) 2506332
Fax. 2506352"
PT Kiwoom Sekuritas Indonesia,"PT Kiwoom Securities Indonesia PT Dongsuh Securities
PT Dongsuh Kolibindo Securities
PT Kolibindo Perkasa","Gedung Treasury Tower, District 8, Lt. 27A Kawasan SCBD Lot 28, Jl. Jendral Sudirman Kav. 52-53, Jakarta 12910, Telp. (021) 50105800, Fax. (021) 50105820"
PT Kopedana Mitra Sekuritas,PT Kopedana Mitra Usaha,"Gedung Center Point Apartemen Tower A No. GF 39-41, Jalan Jenderal A. Yani Kav. 20, Bekasi, Jawa
Barat 17141  Telp. (021) 29286060  Fax.  (021) 29285666"
PT Korea Investment and Sekuritas Indonesia,PT Danpac Sekuritas PT Amcol Securindo,"Gedung Equity Tower Lantai 9 Unit A & E, SCBD Lot. 9, Jalan Jenderal Sudirman Kav. 52-53,  Jakarta 12190  Telp. (021) 29911888  Fax. (021) 29911999"
PT Kresna Sekuritas,PT Kresna Securities,"Kresna Tower Lantai 6, 18 Parc SCBD, Jalan Jenderal Sudirman Kav. 52-53, Jakarta 12190, Telp. (021)
25557000
Telp. 25557010   Fax. (021) 5155280"
PT Lotus Andalan Sekuritas,PT Lautandhana Securindo,"Gedung The City Tower Lantai 7, Jl. MH Thamrin No. 81, Jakarta Pusat  10310, Telp. (021) 23951000,
Fax. (021) 23951099"
PT Macquarie Sekuritas Indonesia,"PT Macquarie Capital Securities Indonesia
PT Macquarie Securities Ind PT ING Securities Ind
PT ING Baring Securities Ind","Gedung Bursa Efek Indonesia Tower I Lantai 8, Jalan Jenderal Sudirman Kav. 52-53, Jakarta 12190, Telp. (021) 2598 8300, Fax. (021) 515 1212"
"PT Magenta Kapital Sekuritas
Indonesia","PT Magenta Kapital Indonesia
PT Emco Securities
PT E-Capital Securities
PT Surabaya Artha Selaras","Bidakara Tower 2 Lt. 16, Jl. Jend. Gatot Subroto Kav. 71 – 73, Jakarta 12870, Telp. (021) 29069455, Fax.
(021) 29069456"
PT Mahastra Andalan Sekuritas,"PT Mahastra Capital
PT Maryloone Mentari","Wisma Budi Lantai 7, Jalan H.R. Rasuna Said Kav. C-6 Suite  701, Jakarta 12940, Telp. (021) 5268185,
5262970  Fax. (021) 5265758"
PT Makindo Sekuritas,PT Makindo Securities,"Wisma Matahari Power Suite 160, Jl. Kebayoran Lama No. 21, Jakarta Selatan 12210, Telp. (021)
50718310  Fax. (021) 50718311"
PT Mandiri Sekuritas,PT Merincorp Securities,"Menara Mandiri I Lantai 24-25, Jalan Gatot Subroto Kav. 54-55, Jakarta 12190, Telp. (021) 5263450,
(021) 5263445  Fax. (021) 5263507  (021) 5263521"
PT Mandiri Utama Sekuritas,,"Elang Laut Boulevard B1 No. 41 Lt. 3, Jl. Pantai Indah Selatan, Kamal Muara, Penjaringan, Jakarta Utara
14470  Telp. (021) 29514959  Fax."
PT Masindo Artha Sekuritas,"PT Masindo Artha Securities
PT Agung Cahaya Cendana","Jalan Sisingamangaraja No. 12, Kebayoran Baru, Jakarta Selatan 12110, Telp. (021) 72792999, Fax.
(021) 7398250"
PT Maybank Sekuritas Indonesia,"PT Maybank Kim Eng Sekuritas PT Maybank Kim Eng Securities PT Kim Eng Securities
PT Kes Sinarmas Securities","Sentral Senayan III Building Lantai 15, 20, & 22, Jalan Asia Afrika No. 8 , Jakarta Pusat  10270, Telp. (021) 80668500, Fax. (021) 80668501"
PT Mega Capital Sekuritas,"PT Mega Capital Indonesia
PT Indovest Securities","Menara Bank Mega Lantai 2, Jalan Kapten P. Tendean Kav. 12-14 A, Jakarta 12790, Telp. (021)
79175599  Fax. (021) 79193900"
"PT Merrill Lynch Sekuritas Indonesia
*)",PT Merrill Lynch Indonesia,"Sequis Tower Lantai 25, Jalan Jenderal Sudirman Kav. 71, SCBD (Sudirman Central Business District)
Lot 11B, Jakarta 12190, Telp. (021) 29553888, Fax. (021) 29553877"
PT Minna Padi Investama Sekuritas Tbk,PT Minna Padi Investama Tbk. PT Batavia Artatama Securindo,"Equity Tower Lantai 11, SCBD Lot 9, Jalan Jenderal Sudirman Kav. 52-53, Jakarta  12190, Telp. (021)
5255555  5256666  Fax.  (021) 5271527"
PT Mirae Asset Sekuritas Indonesia,"PT Daewoo Securities Indonesia PT eTrading Securities
PT Monas Buana Securities
PT Bintang Makmur Securities","District 8, Treasury Tower, Lantai 50 Unit A, B, C, E & F, SCBD Lot. 28, Senayan, Kebayoran Baru, Jakarta Selatan 12190, Telp. (021) 5151140, Fax. (021) 5151141"
PT Mitra Andalan Sekuritas,,"Sentra Niaga Puri Indah Blok TI No. 49, Jl. Puri Indah Raya - Puri Indah CBD, Jakarta Barat 11610, Telp.
0812 8483 888  Fax."
PT MNC Sekuritas,"PT MNC Securities
PT Bhakti Securities","MNC Financial Center Lantai 14-16, Jalan Kebon Sirih No. 21-27, Jakarta Selatan 10340, Telp. (021)
29803111; 39836840  39838850 (Corp Finance)  Fax.  (021) 39836868"
"PT Morgan Stanley Sekuritas
Indonesia *)",PT Morgan Stanley Asia Indonesia,"Gedung World Trade Center II, 20/F, Jalan Jenderal Sudirman Kav. 29-31, Jakarta Selatan 12190, Telp.
(021) 30488100, Fax. (021) 30488172"
PT Net Sekuritas,,"Sudirman Plaza - Indofood Tower Lantai 17 , Jalan Jenderal Sudirman Kav.76-78, Jakarta 12910, Telp.
(021) 57939929  Fax. (021) 57939919"
PT NH Korindo Sekuritas Indonesia,"PT Nonghyup Korindo Securities Indonesia
PT Woori Korindo Securities Indonesia PT Clemont Securities Indonesia
PT Garudapara Investindo","Treasury Tower Lt. 51, Kawasan District 8, SCBD Lot 28, Jl. Jend. Sudirman Kav 52-54, Jakarta Selatan 12190, Telp. (021) 50889100, Fax. (021) 50889101"
PT Nikko Sekuritas Indonesia,PT Nikko Securities Indonesia,"Wisma Indocement Lantai 3, JalanJend.Sudirman Kav.70-71, Jakarta 12910, Telp. (021) 2510125, Fax.
(021) 2510126"
PT Nilai Inti Sekuritas,"PT NISP Sekuritas
PT Abadi Sekuritas Adimasa","OCBC NISP Tower Lantai 21, Jalan Prof. Dr. Satrio Kav. 25, Jakarta 12940, Telp. (021) 29352788,
29352888  Fax. (021) 57944095"
PT Nomura Sekuritas Indonesia,PT Nomura Indonesia,"Sentral Senayan II Building Lantai 9 Suite 209A, Jalan Asia Afrika No. 8, Gelora Bung Karno, Jakarta
10270  Telp. (021) 29913300  Fax. (021) 29913333"
PT Nova Sekuritas,,"Jl. Tanah Abang II (Cideng Barat) No. 87F, Jakarta Pusat , Telp. (021) 7233131, Fax. (021) 72790507"
PT OCBC Sekuritas Indonesia,PT Transasia Securities PT Transpacific Securindo,"Gedung Bursa Efek Indonesia Tower 2 Lantai 29, Jalan Jenderal Sudirman Kav. 52-52, Jakarta 12190, Telp. (021) 29709300  Fax.  (021) 29709393"
PT OSO Sekuritas Indonesia,"PT OSO Securities
PT Kapita Sekurindo","Cyber 2 Tower Lantai 22 Unit A-D, Jalan H.R. Rasuna Said Blok X-5 No. 13, Kuningan Timur, Jakarta
Selatan 12950  Telp. (021) 29915300  Fax.  (021) 29021497"
PT Pacific 2000 Sekuritas,"PT Pacific 2000 Securities
PT Pacific Duaribu Investindo PT Stockom Investama","Atria @ Sudirman Lt. 18, Jalan Jenderal Sudirman Kav. 33A, Jakarta 10220, Telp. (021) 5746961, Fax. (021) 5745864"
PT Pacific Sekuritas Indonesia,"PT Pacific Capital
PT Artha Pacific Sekuritas","Menara Jamsostek Tower Utara Lantai 12A, Jalan Jendral Gatot Subroto Kav. 38, Jakarta Selatan 12740, Telp. (021) 39502900  Fax. (021) 39502901"
PT Panca Global Sekuritas,,"Gedung Bursa Efek Indonesia, Tower I Lantai 17 Suite 1706 A,Jl. Jend. Sudirman Kav. 52-
53 Jakarta 12190 Telp (021) 515 5456    Fax (021) 515 5466"
PT Panin Sekuritas Tbk.,PT Nusamas Panin,"Gedung Bursa Efek Indonesia, Tower 2, Suite 1705, Jalan Jenderal Sudirman Kav. 52-53, Jakarta 12190,
Telp. (021) 5153055, Fax. (021) 5153061"
PT Paramitra Alfa Sekuritas,PT Paramitra Yama Sekuritas,"Cyber 2 Tower 20th floor,  Suite 2001, Jalan H.R. Rasuna Said Blok X-5 No. 13, Jakarta 12950, Telp. (021) 30026700  Fax. (021) 30026710"
PT Peak Sekuritas Indonesia,PT Peak Securities,"Satrio Tower Lt. 21, Jalan Prof. Dr. Satrio Kavling C4, Kuningan Timur, Setiabudi, Jakarta Selatan 12950,
Telp. (021) 57883777  Fax. (021) 5714589"
PT Phillip Sekuritas Indonesia,"PT Phillip Securities Indonesia PT Philindo Santana Perkasa
PT Santana Jaya Sejati","Gedung Atria @Sudirman, Jalan Jenderal Sudirman Kav 33 A, Jakarta 10220, Telp. (021) 57900800, (021) 57900900, Fax.  (021) 57900809"
PT Phintraco Sekuritas,"PT Phintraco Securities
PT Aneka Arthanusa Sekurindo","The East Tower Lantai 16, Jalan Lingkar Mega Kuningan Kav E3.2.No. 1, Jakarta 12950, Telp. (021)
25556138  Fax. (021) 25556139"
PT Pilarmas Investindo Sekuritas,"PT Pilarmas Investindo PT Bali Securities
PT Bali Kapitalindo Sekuritas","Sona Topas Tower Lantai 10, Jalan Jenderal Sudirman Kav. 26, Jakarta 12920, Telp. (021) 2506233, Fax.
(021) 2506232"
PT Pool Advista Sekuritas,"PT Prime Capital Securities
PT Quattro Asia Sekuritas",", Jln. Letjen Soepono Blok CC6 No. 9-10 Arteri Permata Hijau, Grogol Utara, Kebayoran Lama, Jakarta
Selatan 12210  Telp. (021) 80626300  Fax. (021) 53663488"
PT Pratama Capital Sekuritas,"PT Pratama Capital Indonesia
PT Pratama Penaganarta","Equity Tower Buliding, 12th Floor Unit A & E, SCBD Lot. 19, Jalan Jenderal Sudirman Kav. 52-53,
Jakarta Selatan  12190  Telp. (021) 29035880  Fax. (021) 29035890"
PT Profindo Sekuritas Indonesia,PT Profindo International Securities PT Millennium Atlantic Securities PT Minsuco Omega Securities,"Gedung Permata Kuningan Lantai 19, Jalan Kuningan Mulia Kav. 9C, Guntur Setiabudi, Jakarta 12980, Telp. (021) 83780888, Fax. (021) 83780889"
PT Reksa Depok Sekuritas,,"Sentra Investasi Danareksa, Ruko Margonda Residence No. 12, Jalan Margonda Raya, Depok - Jawa
Barat 16424  Telp. (021) 77211514  Fax. (0212) 77211514"
PT Reliance Sekuritas Indonesia Tbk,"PT Reliance Securities Tbk. PT Ludlow Securities
PT Istethmar Finas Securities","Soho Westpoint, Jalan Macan Kav 4-5, Kedoya Utara, Kedoya, Kebun Jeruk, Jakarta Barat , Telp. (021) 29520558, Fax. (021) 29119951"
PT RHB Sekuritas Indonesia,"PT RHB Securities Indonesia
PT RHB OSK Securities Indonesia PT OSK Nusadana Securities Indonesia
PT OSK Nusadana Securities PT Nusadana Capital Indonesia PT Nusadana Inti Investama  PT Dwipanca Rezeki","Revenue Tower Level 10-11, Distric 8, Jalan Jendral Sudirman Kavling 52-53, Jakarta , Telp. (021) 5093
9888, Fax. (021) 5093 9777"
PT Royal Investium Sekuritas,"PT Nusantara Capital Securities
PT Namalatu Cakrawala Securities PT Namalatu Ronesina","Centennial Tower Lantai 31 Unit F, Jalan Gatot Subroto Kav. 24-25, Jakarta Selatan 12930, Telp. (021)
22414400, Fax. (021) 22414401"
PT Samuel Sekuritas Indonesia,PT Infinity Investama,"Menara Imperium Lantai 25, Jalan HR Rasuna Said Kav. 1, Jakarta 12980, Telp. (021) 83701608  , Fax.
(021) 83701610"
PT Sarijaya Permana Sekuritas,PT Tegardinamika Abadi,"Jalan Roa Malaka Utara No.17-18, Jakarta Barat  11230, Telp. (021) 6923567, Fax. (021) 6922837"
PT Semesta Indovest Sekuritas,PT Semesta Indovest Securities,"Lippo St. Moritz Lantai 15, Unit 1501, Jalan Puri Indah Raya Blok U 1-3, Jakarta  11610, Telp. (021) 30495900, Fax. (021) 30495901 (Operasional)/
(021) 30495902 (Dealing)"
PT Shinhan Sekuritas Indonesia,"PT Makinta Securities
PT Asiamatrix Securities Ind. PT Interindo Danapraya","Equity Tower Building Lantai 50, Jalan Jenderal Sudirman Kav. 52-53, Jakarta Selatan  12190, Telp. 021 8086 9900 , Fax. Fax. 021 2205 7925"
PT Sinarmas Sekuritas,PT Sinarmas Ekagraha,"Plaza BII Tower III Lantai 5 Ruang 501, Jalan MH. Thamrin No. 51, Jakarta 10350, Telp. 021 50508000,
Fax. (021) 3925540"
PT Sinergi Millenium Sekuritas,"PT Millenium Danatama Sekuritas PT Sanex Megadana Securities
PT Surya Dumai Securindo","Jl. Kwitang Raya No.1 RT 001 / RW 007
Jakarta Pusat   Telp.   Fax."
PT Star Reksa Sekuritas,,"Ruko Golden Madrid I Blok E No. 21 Bumi Serpong Damai, , Tangerang Selatan , Telp. (021) 53152666,
08122450030  Fax. (021) 5370153"
PT Stockbit Sekuritas Digital,PT Mahakarya Artha Sekuritas PT Mahakarya Artha Securities,"Menara Standard Chartered Lt. 33
Jl. Prof Dr. Satrio No.164 Kel. Karet Semanggi Kec. Setiabudi, Jakarta Selatan - 12930
Telp. (021) 50353333"
PT Sucor Sekuritas,PT Sucorinvest Central Gani,"Sahid Sudirman Center Lantai 12, Jalan Jenderal Sudirman  Kav. 86, Jakarta 10220, Telp. (021)
80673000   Fax. (021) 27889288"
PT Supra Sekuritas Indonesia,PT Supra Securinvest,"Menara Imperium Lantai 19 Suite A, Jalan HR. Rasuna Said Kav.1 Kuningan, Jakarta 12980, Telp. (021) 8356151  Fax. (021) 8356160"
PT Surya Fajar Sekuritas,,"Satrio Tower Lantai 9  Unit B  Jalan Prof. DR Satrio Kav C4  Jakarta Selatan 12950  Telp. (021) 27883989
Fax. (021) 27883990"
PT Trimegah Sekuritas Indonesia Tbk,"PT Trimegah Securities Tbk.
PT Trimegah Securindo Lestari","Gedung Artha Graha Lantai 18, Jalan Jenderal Sudirman Kav. 52-53, Jakarta 12190, Telp. (021)
29249088  Fax. (021) 29249150"
